geoid,name,B01002000.5,"B01002000.5, Error",B01002001,"B01002001, Error",B01002002,"B01002002, Error",B01002003,"B01002003, Error"
05000US06059,"Orange County, CA",,,38.7,0.2,37.6,0.1,39.9,0.2
16000US0600947,"Aliso Viejo, CA",,,37.9,0.8,37.7,1,38.1,1.5
16000US0602000,"Anaheim, CA",,,35.4,0.4,34.8,0.5,36,0.6
16000US0608100,"Brea, CA",,,39.7,1.2,38.5,1.6,40.8,1.7
16000US0608786,"Buena Park, CA",,,36.9,1.1,36,1.2,38.1,1.6
16000US0616532,"Costa Mesa, CA",,,36.4,0.7,36.1,0.9,36.8,1.2
16000US0616580,"Coto de Caza, CA",,,45.6,2.3,45.9,2.4,45.1,2.9
16000US0617750,"Cypress, CA",,,41.5,1,41.6,1.6,41.4,1.2
16000US0617946,"Dana Point, CA",,,49.5,2,48.1,1.9,50.5,1.4
16000US0625380,"Fountain Valley, CA",,,44.3,1.5,41.8,1.9,46.2,1.8
16000US0628000,"Fullerton, CA",,,35.5,0.8,35.3,1,35.9,1.7
16000US0629000,"Garden Grove, CA",,,39.2,0.7,38.2,0.9,40.4,0.8
16000US0636000,"Huntington Beach, CA",,,43.3,0.8,42.2,1.2,44.1,1.1
16000US0636770,"Irvine, CA",,,33.8,0.4,33.3,0.5,34.4,0.8
16000US0639114,"Ladera Ranch, CA",,,34.9,2.2,34.2,6,35.2,2
16000US0639178,"Laguna Beach, CA",,,53.7,1.9,54.3,2.4,53.2,1.8
16000US0639220,"Laguna Hills, CA",,,43.8,2.4,41.1,2.3,46.4,2.1
16000US0639248,"Laguna Niguel, CA",,,47.2,1.5,45.5,1.9,48.2,1.4
16000US0639259,"Laguna Woods, CA",,,75.1,1.2,74.7,2,75.4,1.2
16000US0639290,"La Habra, CA",,,37.7,1.1,35.9,1.6,39.7,2
16000US0639496,"Lake Forest, CA",,,40,0.9,38.3,1.1,41.7,1.5
16000US0640256,"La Palma, CA",,,44.4,1.8,43.8,2.4,45.1,2.4
16000US0640526,"Las Flores, CA",,,31.6,3.3,32.5,4,30.3,6.8
16000US0643224,"Los Alamitos, CA",,,37.3,1.7,36.7,2.6,38,3.1
16000US0647430,"Midway City, CA",,,40.5,4.7,39.6,3.7,43.5,5.3
16000US0648256,"Mission Viejo, CA",,,46,1.5,44.3,1.8,47.4,1.6
16000US0648410,"Modjeska, CA",,,43.6,10.6,38.5,12.3,43.8,12.2
16000US0651182,"Newport Beach, CA",,,46.7,1.7,44.7,1.7,48.8,2.1
16000US0652379,"North Tustin, CA",,,46.9,2.2,45.2,1.7,48.4,2.4
16000US0653980,"Orange, CA",,,36.5,0.8,35.9,0.7,37.2,1.3
16000US0657526,"Placentia, CA",,,38.2,1.1,37.6,1.8,38.8,1.7
16000US0659503,"Rancho Mission Viejo, CA",,,37.4,2.1,37.9,2.5,37,3
16000US0659587,"Rancho Santa Margarita, CA",,,40.1,1.1,39.9,1.5,40.3,1.2
16000US0663050,"Rossmoor, CA",,,47.6,1.8,45.6,3,48.2,1.7
16000US0665084,"San Clemente, CA",,,44.2,1.5,41.8,1.6,47.2,1.8
16000US0668028,"San Juan Capistrano, CA",,,42.4,2.2,42.2,3.6,42.5,2.4
16000US0669000,"Santa Ana, CA",,,33.4,0.5,32.8,0.6,34.1,0.8
16000US0670686,"Seal Beach, CA",,,60.8,1.6,56.9,2.5,64.2,2.4
16000US0671918,"Silverado, CA",,,41.4,4,44.4,5,39.5,5.3
16000US0673962,"Stanton, CA",,,37.4,1.5,37,1.8,37.7,2.1
16000US0680210,"Trabuco Canyon, CA",,,54.4,6.1,55,6.4,51.8,9.2
16000US0680854,"Tustin, CA",,,36.2,1,34,1.6,37.9,1.9
16000US0682744,"Villa Park, CA",,,51.7,5.5,50.4,7.5,54.6,5.1
16000US0684550,"Westminster, CA",,,41.6,1.5,41.9,1.9,41.4,1.8
16000US0685587,"Williams Canyon, CA",,,57.2,18.9,57.3,13.4,46.8,30.1
16000US0686832,"Yorba Linda, CA",,,44.3,1,43.8,1.4,44.6,1.3
