geoid,name,B02001001,"B02001001, Error",B02001002,"B02001002, Error",B02001003,"B02001003, Error",B02001004,"B02001004, Error",B02001005,"B02001005, Error",B02001006,"B02001006, Error",B02001007,"B02001007, Error",B02001008,"B02001008, Error",B02001009,"B02001009, Error",B02001010,"B02001010, Error"
05000US06059,"Orange County, CA",3175227,,1594137,7219,53753,1648,19759,1690,688905,3465,9847,723,427775,7923,381051,8353,243967,7319,137084,4337
16000US0600947,"Aliso Viejo, CA",51896,75,32776,1391,1403,537,54,50,8328,1111,16,25,3425,1009,5894,845,2502,641,3392,606
16000US0602000,"Anaheim, CA",347111,78,167094,4132,9047,1439,2952,642,61068,2672,1375,502,50250,3327,55325,3652,44553,3600,10772,1300
16000US0608100,"Brea, CA",47099,81,24244,1414,404,274,188,197,12380,1221,38,46,3582,814,6263,1214,3990,1216,2273,561
16000US0608786,"Buena Park, CA",83542,129,32034,2175,1990,559,737,349,27342,1767,345,314,10589,1673,10505,1562,7337,1308,3168,743
16000US0616532,"Costa Mesa, CA",111490,79,63470,2121,1592,371,1209,498,9987,1060,396,306,21162,1972,13674,1399,8908,1352,4766,695
16000US0616580,"Coto de Caza, CA",15632,1273,12068,1077,246,181,33,44,1326,363,76,83,272,151,1611,610,828,410,783,294
16000US0617750,"Cypress, CA",49955,75,20526,1290,1698,449,295,218,18546,1190,126,101,3482,781,5282,782,2064,536,3218,542
16000US0617946,"Dana Point, CA",33025,45,27373,868,399,239,70,119,1309,420,28,39,1691,585,2155,517,1023,433,1132,344
16000US0625380,"Fountain Valley, CA",56754,59,24944,1404,425,256,253,168,21248,1271,528,371,3082,798,6274,1299,3225,1080,3049,580
16000US0628000,"Fullerton, CA",142280,103,67739,2913,3116,682,766,278,35623,1746,338,193,17808,2289,16890,1856,11555,1742,5335,727
16000US0629000,"Garden Grove, CA",171637,136,54787,2563,1918,563,1340,485,71510,2390,979,522,24699,1947,16404,1776,13064,1741,3340,546
16000US0636000,"Huntington Beach, CA",197481,61,129873,2558,2415,516,889,250,24683,1739,978,334,14930,1654,23713,1817,11935,1516,11778,1131
16000US0636770,"Irvine, CA",304527,82,122058,3829,5978,949,660,224,134995,4666,1144,465,8375,1560,31317,3258,11892,2302,19425,2480
16000US0639114,"Ladera Ranch, CA",24323,1228,16964,1146,317,216,63,100,3374,807,121,134,453,314,3031,812,1099,428,1932,666
16000US0639178,"Laguna Beach, CA",22943,40,19736,591,101,85,51,52,724,260,66,72,467,316,1798,367,808,297,990,289
16000US0639220,"Laguna Hills, CA",31170,45,18928,1043,320,360,90,75,5217,895,44,70,2934,742,3637,630,1646,452,1991,483
16000US0639248,"Laguna Niguel, CA",64259,83,44679,1394,1300,515,98,78,7225,948,135,109,4047,880,6775,980,3071,866,3704,662
16000US0639259,"Laguna Woods, CA",17452,34,12272,500,128,135,158,129,3927,488,38,62,395,193,534,198,285,133,249,127
16000US0639290,"La Habra, CA",62904,48,28205,1767,1243,459,628,246,7612,878,64,85,14465,1386,10687,1573,8727,1483,1960,391
16000US0639496,"Lake Forest, CA",85583,73,47958,1843,1866,786,697,489,16691,1389,463,305,6530,1176,11378,1569,6721,1437,4657,698
16000US0640256,"La Palma, CA",15522,54,4874,638,706,298,39,54,7860,523,0,21,681,283,1362,386,593,301,769,257
16000US0640526,"Las Flores, CA",5757,941,4454,767,0,19,0,19,506,161,0,19,195,212,602,693,448,685,154,106
16000US0643224,"Los Alamitos, CA",11728,30,6369,594,467,205,30,34,1865,344,35,46,1613,674,1349,328,786,267,563,207
16000US0647430,"Midway City, CA",8032,1349,2123,697,75,101,63,82,3518,720,18,31,1679,828,556,481,510,477,46,40
16000US0648256,"Mission Viejo, CA",93233,63,63187,2124,1107,326,416,317,13022,1943,172,154,4756,937,10573,1726,5081,1442,5492,1260
16000US0648410,"Modjeska, CA",756,289,714,289,0,13,0,13,0,13,0,13,12,16,30,22,19,19,11,11
