geoid,name,B07013001,"B07013001, Error",B07013002,"B07013002, Error",B07013003,"B07013003, Error",B07013004,"B07013004, Error",B07013005,"B07013005, Error",B07013006,"B07013006, Error",B07013007,"B07013007, Error",B07013008,"B07013008, Error",B07013009,"B07013009, Error",B07013010,"B07013010, Error",B07013011,"B07013011, Error",B07013012,"B07013012, Error",B07013013,"B07013013, Error",B07013014,"B07013014, Error",B07013015,"B07013015, Error",B07013016,"B07013016, Error",B07013017,"B07013017, Error",B07013018,"B07013018, Error"
05000US06059,"Orange County, CA",3093077,1762,1762384,15101,1330693,14716,2727617,7296,1637891,14307,1089726,14467,234363,6571,78924,3791,155439,5037,76360,3809,26778,2144,49582,3366,32205,2388,10626,1315,21579,1925,22532,2008,8165,1025,14367,1656
16000US0600947,"Aliso Viejo, CA",50543,226,29534,1483,21009,1457,44366,1005,27675,1432,16691,1599,4620,794,1499,433,3121,691,638,332,204,116,434,289,658,319,108,83,550,305,261,159,48,31,213,161
16000US0602000,"Anaheim, CA",336904,563,158416,4655,178488,4551,301961,2865,148162,4199,153799,5159,22688,2331,5843,984,16845,2198,8648,1529,3113,930,5535,1286,1888,423,563,208,1325,386,1719,440,735,187,984,376
16000US0608100,"Brea, CA",46210,273,29122,1447,17088,1473,40201,947,27095,1503,13106,1415,3533,755,1145,395,2388,679,1601,470,671,294,930,333,335,136,108,63,227,134,540,341,103,64,437,339
16000US0608786,"Buena Park, CA",81379,367,46438,2654,34941,2543,73519,1104,43369,2635,30150,2557,4464,878,1635,481,2829,661,2559,517,979,368,1580,493,539,240,233,165,306,178,298,158,222,148,76,50
16000US0616532,"Costa Mesa, CA",108131,271,44693,2007,63438,2020,92068,1366,40865,1900,51203,2178,11817,1250,3118,832,8699,999,2420,581,481,206,1939,529,873,246,114,75,759,235,953,462,115,72,838,445
16000US0616580,"Coto de Caza, CA",15465,1236,14126,1286,1339,458,13772,1144,12793,1184,979,400,1012,325,758,284,254,150,267,126,234,116,33,39,414,283,341,278,73,77,0,21,0,21,0,21
16000US0617750,"Cypress, CA",49433,118,33701,1313,15732,1312,46066,719,32001,1176,14065,1260,1520,450,461,159,1059,404,1330,688,928,670,402,199,323,170,196,143,127,97,194,132,115,91,79,91
16000US0617946,"Dana Point, CA",32518,143,20317,1333,12201,1300,27204,931,18149,1415,9055,1235,3692,883,1242,513,2450,776,978,511,631,434,347,209,579,270,230,121,349,234,65,56,65,56,0,28
16000US0625380,"Fountain Valley, CA",55774,165,37239,1551,18535,1538,50077,1104,35339,1612,14738,1722,4438,968,1391,470,3047,829,684,236,300,131,384,188,428,177,131,78,297,163,147,82,78,55,69,57
16000US0628000,"Fullerton, CA",137077,369,70959,2675,66118,2595,120353,1627,66886,2553,53467,2684,10378,1339,2277,422,8101,1234,4258,694,1179,262,3079,638,940,350,243,95,697,338,1148,426,374,239,774,339
16000US0629000,"Garden Grove, CA",167320,351,92429,2891,74891,2884,156086,1283,87718,2854,68368,2950,8076,1030,3385,639,4691,893,1785,422,877,303,908,262,529,177,167,72,362,159,844,296,282,111,562,281
