geoid,name,B15003001,"B15003001, Error",B15003002,"B15003002, Error",B15003003,"B15003003, Error",B15003004,"B15003004, Error",B15003005,"B15003005, Error",B15003006,"B15003006, Error",B15003007,"B15003007, Error",B15003008,"B15003008, Error",B15003009,"B15003009, Error",B15003010,"B15003010, Error",B15003011,"B15003011, Error",B15003012,"B15003012, Error",B15003013,"B15003013, Error",B15003014,"B15003014, Error",B15003015,"B15003015, Error",B15003016,"B15003016, Error",B15003017,"B15003017, Error",B15003018,"B15003018, Error",B15003019,"B15003019, Error",B15003020,"B15003020, Error",B15003021,"B15003021, Error",B15003022,"B15003022, Error",B15003023,"B15003023, Error",B15003024,"B15003024, Error",B15003025,"B15003025, Error"
05000US06059,"Orange County, CA",2197677,,70987,1904,899,234,1765,418,1494,274,3978,481,7517,720,5432,557,7445,738,38156,1763,6814,850,15901,1327,28916,1680,18463,1219,22507,1370,59184,2225,337421,5118,41897,2032,125799,3037,295474,4994,167810,4053,591937,6187,238150,4308,69299,2274,40432,1525
16000US0600947,"Aliso Viejo, CA",35029,665,381,277,45,39,11,17,0,31,0,31,51,55,0,31,8,12,76,53,0,31,17,30,120,114,26,30,196,134,342,134,3590,499,426,125,2095,379,4725,589,3138,410,12613,728,5345,588,1067,247,757,254
16000US0602000,"Anaheim, CA",231553,2066,10878,877,87,61,181,108,388,155,866,334,1450,278,928,307,1279,426,9175,879,1275,276,2898,529,4681,734,2852,409,3870,576,10559,1053,46926,2007,4974,465,14516,759,31389,1539,17362,1125,44622,2069,14393,1029,3779,545,2225,425
16000US0608100,"Brea, CA",32912,704,352,203,0,28,0,28,61,73,45,49,37,45,105,82,35,53,181,107,81,71,213,118,247,149,134,80,244,126,545,222,4306,537,711,227,1876,295,5263,612,2642,406,9747,632,4276,535,1079,351,732,198
16000US0608786,"Buena Park, CA",57225,1390,1705,396,16,22,17,23,26,30,70,75,128,65,156,111,81,65,1037,309,161,88,714,313,751,270,647,249,912,309,1768,395,11129,1020,1597,347,3905,480,9456,862,4897,597,12746,1013,3896,473,863,279,547,168
16000US0616532,"Costa Mesa, CA",80299,1334,2006,467,34,44,67,56,18,26,197,117,237,161,99,61,344,170,1108,286,213,105,457,204,1910,584,562,230,919,240,1582,329,12406,905,1617,357,4113,554,12285,1058,5985,611,23781,964,7047,700,2422,424,890,184
16000US0616580,"Coto de Caza, CA",10871,816,53,41,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,15,25,45,65,9,15,51,40,1049,261,65,54,647,157,1089,302,661,201,4067,534,1918,411,846,216,356,147
16000US0617750,"Cypress, CA",34283,791,1088,366,17,27,0,28,43,49,6,9,0,28,137,140,92,92,188,90,57,50,278,169,179,98,247,117,112,55,795,243,4307,523,739,211,2464,439,4089,383,2826,335,10683,669,4401,515,804,191,731,154
16000US0617946,"Dana Point, CA",25265,564,264,123,10,15,0,28,0,28,0,28,0,28,45,50,0,28,50,61,1,6,14,23,89,113,31,31,52,62,575,269,2523,429,604,250,1473,384,3489,604,2110,392,8357,807,3566,520,1280,366,732,235
16000US0625380,"Fountain Valley, CA",41017,876,1264,322,0,31,31,40,0,31,23,36,93,68,74,57,61,65,198,74,151,102,186,104,185,95,468,150,356,158,856,202,6454,617,783,293,2402,327,6144,551,3319,451,12501,902,3452,379,1286,231,730,195
