geoid,name,B23025001,"B23025001, Error",B23025002,"B23025002, Error",B23025003,"B23025003, Error",B23025004,"B23025004, Error",B23025005,"B23025005, Error",B23025006,"B23025006, Error",B23025007,"B23025007, Error"
05000US06059,"Orange County, CA",2578680,1446,1691432,5739,1688826,5793,1598126,5975,90700,2908,2606,508,887248,5774
16000US0600947,"Aliso Viejo, CA",40557,762,30546,878,30523,877,29374,886,1149,319,23,36,10011,567
16000US0602000,"Anaheim, CA",277347,2065,186923,2290,186752,2285,176716,2361,10036,900,171,109,90424,2372
16000US0608100,"Brea, CA",37812,749,25368,910,25368,910,24087,880,1281,327,0,28,12444,799
16000US0608786,"Buena Park, CA",66596,1280,45968,1365,45935,1368,43440,1312,2495,446,33,37,20628,1029
16000US0616532,"Costa Mesa, CA",92732,1156,67846,1375,67778,1387,64362,1387,3416,467,68,57,24886,1150
16000US0616580,"Coto de Caza, CA",12810,1114,8577,833,8577,833,8219,757,358,174,0,21,4233,448
16000US0617750,"Cypress, CA",39778,649,25337,898,25246,905,23968,866,1278,293,91,67,14441,591
16000US0617946,"Dana Point, CA",28325,529,17453,771,17322,761,16546,751,776,221,131,119,10872,698
16000US0625380,"Fountain Valley, CA",47471,821,29314,978,29314,978,27543,936,1771,489,0,31,18157,920
16000US0628000,"Fullerton, CA",113726,1449,74327,1833,74235,1860,69141,1834,5094,665,92,95,39399,1337
16000US0629000,"Garden Grove, CA",139871,1220,89962,1443,89924,1439,84716,1355,5208,440,38,35,49909,1385
16000US0636000,"Huntington Beach, CA",166880,1469,110587,1824,110472,1841,104470,1903,6002,738,115,91,56293,1536
16000US0636770,"Irvine, CA",245296,2077,160793,2521,160415,2490,151513,2498,8902,1117,378,297,84503,2667
16000US0639114,"Ladera Ranch, CA",16706,953,12283,874,12201,868,11867,855,334,139,82,109,4423,500
16000US0639178,"Laguna Beach, CA",20038,400,12143,578,12143,578,11322,587,821,199,0,25,7895,530
16000US0639220,"Laguna Hills, CA",25931,555,17063,751,17018,753,16163,698,855,285,45,46,8868,573
16000US0639248,"Laguna Niguel, CA",54878,617,36329,975,36217,985,34218,995,1999,509,112,85,18549,852
16000US0639259,"Laguna Woods, CA",17401,62,4001,466,4001,466,3667,493,334,178,0,21,13400,472
16000US0639290,"La Habra, CA",50810,734,34694,864,34694,864,32203,817,2491,446,0,31,16116,878
16000US0639496,"Lake Forest, CA",70155,855,48579,1200,48506,1200,46072,1140,2434,455,73,63,21576,992
16000US0640256,"La Palma, CA",13095,307,8150,399,8150,399,7769,409,381,122,0,21,4945,379
16000US0640526,"Las Flores, CA",4404,825,3372,773,3372,773,3256,781,116,84,0,19,1032,274
16000US0643224,"Los Alamitos, CA",9127,227,6377,346,6306,347,5840,398,466,261,71,48,2750,329
16000US0647430,"Midway City, CA",6557,1082,3715,754,3715,754,3385,694,330,144,0,19,2842,512
16000US0648256,"Mission Viejo, CA",77068,1406,49031,1284,48917,1274,46761,1200,2156,390,114,89,28037,1287
16000US0648410,"Modjeska, CA",574,182,370,154,370,154,361,153,9,9,0,13,204,63
16000US0651182,"Newport Beach, CA",72487,898,45205,1156,45199,1157,43340,1159,1859,526,6,9,27282,1240
16000US0652379,"North Tustin, CA",20432,1412,12372,1025,12353,1026,11972,1006,381,154,19,24,8060,891
16000US0653980,"Orange, CA",113918,1287,75309,1519,75272,1516,71741,1583,3531,586,37,46,38609,1348
16000US0657526,"Placentia, CA",41112,669,27176,824,27051,807,25697,805,1354,331,125,128,13936,904
16000US0659503,"Rancho Mission Viejo, CA",7633,784,5070,742,5050,739,4891,699,159,120,20,31,2563,339
16000US0659587,"Rancho Santa Margarita, CA",38176,665,28377,802,28366,801,27433,856,933,223,11,17,9799,828
16000US0663050,"Rossmoor, CA",9218,907,5565,609,5556,611,5298,620,258,115,9,15,3653,673
16000US0665084,"San Clemente, CA",52191,720,32923,1104,32666,1108,30951,1066,1715,331,257,142,19268,1018
16000US0668028,"San Juan Capistrano, CA",28187,715,17995,884,17916,890,17175,908,741,225,79,114,10192,992
16000US0669000,"Santa Ana, CA",246018,1727,164050,2597,163929,2595,154940,2479,8989,772,121,87,81968,2112
16000US0670686,"Seal Beach, CA",22091,378,9622,506,9449,506,9048,521,401,127,173,52,12469,542
16000US0671918,"Silverado, CA",704,145,406,110,406,110,376,103,30,18,0,13,298,85
16000US0673962,"Stanton, CA",30481,805,19679,881,19679,881,18227,770,1452,495,0,28,10802,692
16000US0680210,"Trabuco Canyon, CA",1178,486,637,201,637,201,611,200,26,14,0,13,541,316
16000US0680854,"Tustin, CA",62774,1169,43323,1481,43285,1487,40715,1438,2570,403,38,40,19451,1408
16000US0682744,"Villa Park, CA",4780,218,2433,262,2433,262,2402,261,31,24,0,19,2347,313
16000US0684550,"Westminster, CA",74117,1047,44383,1223,44335,1231,40988,1232,3347,760,48,51,29734,1204
16000US0685587,"Williams Canyon, CA",29,51,18,23,18,23,18,23,0,13,0,13,11,31
16000US0686832,"Yorba Linda, CA",54486,773,34239,952,34213,954,32626,982,1587,325,26,29,20247,986
