geoid,name,B24031001,"B24031001, Error",B24031002,"B24031002, Error",B24031003,"B24031003, Error",B24031004,"B24031004, Error",B24031005,"B24031005, Error",B24031006,"B24031006, Error",B24031007,"B24031007, Error",B24031008,"B24031008, Error",B24031009,"B24031009, Error",B24031010,"B24031010, Error",B24031011,"B24031011, Error",B24031012,"B24031012, Error",B24031013,"B24031013, Error",B24031014,"B24031014, Error",B24031015,"B24031015, Error",B24031016,"B24031016, Error",B24031017,"B24031017, Error",B24031018,"B24031018, Error",B24031019,"B24031019, Error",B24031020,"B24031020, Error",B24031021,"B24031021, Error",B24031022,"B24031022, Error",B24031023,"B24031023, Error",B24031024,"B24031024, Error",B24031025,"B24031025, Error",B24031026,"B24031026, Error",B24031027,"B24031027, Error"
05000US06059,"Orange County, CA",52419,391,34083,2040,31878,1876,101314,39017,53200,1375,68326,1418,70775,2041,33858,594,51753,1302,46225,1015,112823,7453,75144,3930,81145,1789,92355,2580,61914,2641,70091,1386,88979,1782,108953,20562,36644,999,54532,985,56966,1335,52677,1109,24778,439,30028,1545,23713,430,30075,1049,83860,2783
16000US0600947,"Aliso Viejo, CA",72179,3437,,,,,,,86571,12863,110785,6842,86736,17905,34738,6419,59893,10606,52359,14969,104531,58563,105563,20211,88910,12714,89707,16056,85625,26674,99328,7391,108023,11206,138750,34821,37401,27662,59918,7576,64082,9068,58338,7973,29508,3601,30719,12635,29213,5432,54750,17957,104098,21770
16000US0602000,"Anaheim, CA",41508,721,30291,2144,29909,1939,60550,34871,46716,3316,49367,3167,51241,4854,29722,1891,45353,4213,43377,4416,80096,31443,62159,12009,59554,4224,71489,6949,45391,5241,47368,3228,73846,8859,129236,17241,34151,2011,46100,1916,46914,5638,45808,2272,25060,1522,28899,3682,24249,1670,30705,3709,69110,9811
16000US0608100,"Brea, CA",60110,3614,11346,150332,11346,150332,,,77089,14096,74712,11795,87760,16721,35786,4699,58447,19941,45662,10504,124836,40209,60625,20068,65257,13509,77775,17716,43364,20690,66250,18196,81431,8946,,,46465,13697,68720,9330,78846,6194,58857,14219,19118,8687,18682,4051,21838,13966,39145,13589,101618,16645
16000US0608786,"Buena Park, CA",46545,1619,21836,19779,21836,19779,,,47964,4975,52391,8905,52524,6520,32872,3368,53344,5059,52331,6952,110469,8573,51335,35116,64463,4223,63314,6439,65897,20182,52923,9023,73344,5209,56053,51909,31914,7861,52877,6755,58723,12080,50746,8006,24987,3356,28573,3154,23595,3566,30833,9395,68529,25964
16000US0616532,"Costa Mesa, CA",53480,2098,48238,4076,47582,3787,,,55695,5318,80554,7060,83165,17262,34117,1790,47417,8800,44524,10039,119694,51035,74597,9823,87776,6620,89724,5228,85489,20211,65246,7112,86250,8633,100203,52730,33860,6074,55344,4637,62648,10416,51492,8107,26535,2834,35163,14336,24783,2110,34434,4363,81098,15052
16000US0616580,"Coto de Caza, CA",93377,9417,,,,,,,86016,23977,141111,55428,103750,50725,68958,30136,49750,64453,48929,26552,180729,107072,74375,43469,170345,42176,171143,58024,118519,84588,105815,20289,124338,35453,,,35496,21488,85060,32277,55986,10582,91688,15073,24028,11254,15862,17312,26507,8267,22794,23651,118864,122687
16000US0617750,"Cypress, CA",57870,3263,81676,25198,81278,14018,,,63796,19737,80278,11644,83939,35551,34622,3354,71213,6040,59451,21442,82147,63609,39671,53819,91393,17808,92071,16575,87625,66061,61540,17642,78906,17043,110948,75177,31020,6187,63636,8580,62880,11521,66724,14428,22875,6124,23553,12316,21667,8013,23625,1410,89329,5922
16000US0617946,"Dana Point, CA",68972,4048,55347,37188,11971,39510,56771,77350,72083,57933,81828,39529,105930,28790,51369,30490,67813,38570,55417,32898,142500,155648,77601,22900,89003,35535,132018,50168,44368,9826,82256,20695,100052,29203,,,58391,2471,60223,6616,60960,7100,59411,13427,25586,14511,102885,73907,14898,10317,43723,14248,110223,15729
16000US0625380,"Fountain Valley, CA",51975,2736,,,,,,,68056,18945,71238,4931,59943,13209,36792,8432,55909,14640,52099,6416,113409,41991,48102,22820,66736,12973,69366,14571,52368,13423,67228,9179,75433,6022,,,47546,18083,48168,9401,59095,25566,46549,5815,23875,5021,18654,22664,24007,3241,36000,19973,74438,19515
