geoid,name,B25077001,"B25077001, Error"
05000US06059,"Orange County, CA",862900,3353
16000US0600947,"Aliso Viejo, CA",818500,21945
16000US0602000,"Anaheim, CA",713600,10072
16000US0608100,"Brea, CA",834600,18031
16000US0608786,"Buena Park, CA",702600,14415
16000US0616532,"Costa Mesa, CA",959800,19859
16000US0616580,"Coto de Caza, CA",1353900,55921
16000US0617750,"Cypress, CA",825800,17253
16000US0617946,"Dana Point, CA",1141400,23863
16000US0625380,"Fountain Valley, CA",932800,13619
16000US0628000,"Fullerton, CA",791000,19018
16000US0629000,"Garden Grove, CA",702600,9678
16000US0636000,"Huntington Beach, CA",976800,13923
16000US0636770,"Irvine, CA",1025700,22469
16000US0639114,"Ladera Ranch, CA",978000,50601
16000US0639178,"Laguna Beach, CA",2000001,
16000US0639220,"Laguna Hills, CA",861800,28907
16000US0639248,"Laguna Niguel, CA",1052800,27863
16000US0639259,"Laguna Woods, CA",358300,14047
16000US0639290,"La Habra, CA",680100,16109
16000US0639496,"Lake Forest, CA",836800,15816
16000US0640256,"La Palma, CA",865100,15052
16000US0640526,"Las Flores, CA",970000,57498
16000US0643224,"Los Alamitos, CA",940800,44425
16000US0647430,"Midway City, CA",687000,88108
16000US0648256,"Mission Viejo, CA",883600,9972
16000US0648410,"Modjeska, CA",847000,135127
16000US0651182,"Newport Beach, CA",2000001,
16000US0652379,"North Tustin, CA",1155400,36852
16000US0653980,"Orange, CA",848200,8856
16000US0657526,"Placentia, CA",835600,11922
16000US0659503,"Rancho Mission Viejo, CA",979900,45422
16000US0659587,"Rancho Santa Margarita, CA",861100,23640
16000US0663050,"Rossmoor, CA",1196700,31228
16000US0665084,"San Clemente, CA",1161000,29347
16000US0668028,"San Juan Capistrano, CA",888200,55272
16000US0669000,"Santa Ana, CA",624000,7560
16000US0670686,"Seal Beach, CA",483100,33165
16000US0671918,"Silverado, CA",646200,34714
16000US0673962,"Stanton, CA",505000,26964
16000US0680210,"Trabuco Canyon, CA",1114800,49874
16000US0680854,"Tustin, CA",850200,28685
16000US0682744,"Villa Park, CA",1469200,139873
16000US0684550,"Westminster, CA",777100,16264
16000US0685587,"Williams Canyon, CA",,
16000US0686832,"Yorba Linda, CA",991400,22242
